time,Fx_real,Fy_real,Fz_real,,,
7.65672,-0.912992394,0.19157201,0.103089664,,,
7.658289,-0.940887192,0.163783969,0.054119191,,,
7.659858,-0.933921277,0.197706108,0.043852695,,,
7.661427,-0.966847014,0.239755148,0.022412266,,,
7.662996,-0.891418518,0.22551639,-0.059888732,,,
7.664565,-0.82059838,0.242188325,-0.064225748,,,
7.666134,-0.847994978,0.225382943,-0.038212548,,,
7.667703,-0.926368197,0.272111512,0.109366105,,,
7.669272,-0.972256052,0.235524889,0.194616274,,,
7.670841,-0.939259143,0.285046941,0.222729035,,,
7.67241,-0.922240247,0.148913564,0.177054695,,,
7.673979,-0.840593137,0.261382402,0.129356413,,,
7.675548,-0.934499546,0.20380462,0.091448667,,,
7.677117,-0.964129151,0.241703469,0.02597974,,,
7.678686,-0.966077472,0.258940328,0.084607302,,,
7.680255,-0.856224188,0.232299928,-0.02129596,,,
7.681824,-0.806301796,0.217829863,-0.038377132,,,
7.683393,-0.892059062,0.239839664,0.078677823,,,
7.684962,-1.004243214,0.253611358,0.174234522,,,
7.686531,-0.980382953,0.257966167,0.199042255,,,
7.6881,-0.915234298,0.242317323,0.221407913,,,
7.689669,-0.849520718,0.195909026,0.182717281,,,
7.691238,-0.856575598,0.246832268,0.154626761,,,
7.692807,-0.931110001,0.231227907,0.084758542,,,
7.694376,-0.956491554,0.297315137,0.062192713,,,
7.695945,-0.896080255,0.231285733,-0.014512422,,,
7.697514,-0.853234983,0.287355568,-0.027029718,,,
7.699083,-0.840490828,0.263170587,0.03175798,,,
7.700652,-0.971593267,0.29035367,0.138777747,,,
7.702221,-0.998015704,0.323448439,0.258977594,,,
7.70379,-0.922355901,0.297537548,0.211083591,,,
7.705359,-0.878460849,0.224471058,0.189483026,,,
7.706928,-0.872695953,0.201753989,0.162549044,,,
7.708497,-0.955090364,0.185682564,0.092476207,,,
7.710066,-0.978221117,0.259838869,0.027936958,,,
7.711635,-0.92816083,0.28449981,0.012065703,,,
7.713204,-0.856806905,0.24257532,-0.032198552,,,
7.714773,-0.816781806,0.181777026,-0.024961295,,,
7.716342,-0.881752533,0.214351353,0.095847959,,,
7.717911,-0.986775048,0.269758403,0.169199135,,,
7.71948,-0.904336154,0.328430448,0.192530058,,,
7.721049,-0.877971544,0.277275898,0.199384768,,,
7.722618,-0.868541314,0.216330812,0.184256366,,,
7.724187,-0.85834599,0.243682927,0.10642583,,,
7.725756,-0.895337402,0.248722763,0.04443986,,,
7.727325,-0.955762046,0.197710556,0.001518969,,,
7.728894,-0.933974656,0.274473518,0.006251877,,,
7.730463,-0.86557435,0.239208016,-0.033782119,,,
7.732032,-0.877615686,0.252886298,0.0468419,,,
7.733601,-0.929063819,0.173129683,0.137683484,,,
7.73517,-0.953671382,0.269900746,0.1867963,,,
7.736739,-0.963141646,0.256266947,0.17816675,,,
7.738308,-0.923321165,0.243633997,0.149555788,,,
7.739877,-0.917449512,0.159994084,0.12833777,,,
7.741446,-0.942599758,0.182751186,0.084184721,,,
7.743015,-0.954338615,0.14712093,0.020944353,,,
7.744584,-0.958373152,0.235124549,-0.021327098,,,
7.746153,-0.865894622,0.237789034,-0.044595746,,,
7.747722,-0.84273718,0.238554128,-0.061049718,,,
7.749291,-0.954374201,0.245466664,0.07248145,,,
7.75086,-1.001213975,0.308151005,0.174835032,,,
7.752429,-0.964440526,0.246200621,0.204896114,,,
7.753998,-0.921052572,0.237886895,0.145730317,,,
7.755567,-0.900808715,0.137374876,0.099072919,,,
